State or area,,Total,Congenital,Endocrine,Infectious diseases,Injuries,Mental disorders,Neoplasms,Blood disorders,Circulatory system,Digestive system,Urinary system,MSK system,Nervous system,Respiratory system,Skin and tissue
All areas,,"9,919,094","42,909","259,129","113,346","346,057","3,427,753","282,512","26,755","698,876","145,717","165,196","2,943,994","963,677","250,755","22,906"
Alabama,,"256,215",855,"8,592","2,303","9,880","72,952","5,532",929,"20,797","3,407","3,823","91,594","22,657","6,479",740
Alaska,,"13,858",83,295,101,565,"5,474",407,30,776,202,202,"3,752","1,422",247,35
Arizona,,"172,102",763,"4,191","1,890","6,535","60,370","4,858",369,"10,536","2,865","3,342","49,118","19,417","3,856",395
Arkansas,,"153,937",527,"5,956","1,078","5,797","46,929","3,870",403,"12,627","2,327","1,928","50,759","13,837","4,437",515
California,,"757,075","4,225","17,247","11,915","29,053","273,911","23,296","1,689","45,562","11,164","17,560","217,300","77,008","9,954","1,517"
Colorado,,"112,742",664,"2,618","1,165","4,554","37,294","3,416",184,"5,542","2,154","1,769","32,811","14,776","3,119",212
Connecticut,,"95,368",361,"2,165","1,036","2,561","41,635","2,995",235,"5,303","1,313","1,362","22,654","9,268","1,862",203
Delaware,,"31,024",140,660,407,"1,019","9,608",918,96,"2,264",429,572,"10,272","3,074",884,65
District of Columbia,,"15,943",33,427,646,444,"6,787",386,69,"1,263",160,495,"3,082","1,373",313,45
Florida,,"624,456","2,683","16,912","12,521","22,398","184,465","21,699","2,287","50,483","11,014","10,834","195,713","60,889","16,413","1,883"
Georgia,,"322,541","1,129","9,552","6,038","12,319","91,285","9,760","1,464","29,897","4,901","7,694","100,704","30,413","9,214",813
Hawaii,,"24,840",100,483,349,825,"10,655",929,25,"1,972",240,927,"5,075","2,302",322,65
Idaho,,"50,743",263,"1,225",278,"1,864","18,750","1,324",93,"2,574",934,615,"14,762","5,634","1,296",126
Illinois,,"329,374","1,717","8,932","3,613","10,278","120,746","10,265","1,047","25,509","4,280","6,096","84,654","35,472","9,188",694
Indiana,,"234,161",860,"7,796","1,874","7,338","76,553","6,613",552,"18,867","3,850","3,363","66,936","24,305","9,088",505
Iowa,,"91,291",536,"2,875",468,"3,051","35,532","2,846",138,"5,660","1,223","1,022","23,405","9,302","2,910",167
Kansas,,"84,105",449,"2,200",523,"2,864","31,139","2,348",161,"5,433","1,416","1,139","23,387","8,637","2,509",182
Kentucky,,"225,759",738,"5,752","1,388","7,478","72,726","4,992",388,"16,370","3,320","2,359","78,611","18,249","7,870",559
Louisiana,,"184,238",645,"4,934","2,514","7,204","55,771","4,779",717,"17,279","2,473","3,329","58,833","15,837","4,316",494
Maine,,"64,896",206,"1,562",308,"2,006","28,208","1,648",105,"3,299","1,062",449,"17,260","5,770","1,565",215
Maryland,,"146,092",724,"3,789","2,794","5,170","49,841","4,475",631,"11,478","2,189","3,449","38,568","14,928","3,682",346
Massachusetts,,"226,065",949,"3,768","2,342","6,015","111,547","5,836",419,"10,118","3,049","2,104","51,003","19,139","3,911",345
Michigan,,"393,621","1,485","10,265","2,620","12,300","137,397","10,676","1,016","26,770","5,806","5,372","121,057","37,738","10,941",983
Minnesota,,"140,663",788,"2,234",848,"4,650","64,437","4,328",242,"7,156","1,701","1,737","32,073","14,864","2,612",263
Mississippi,,"146,555",482,"5,458","1,497","6,198","45,134","4,253",601,"14,873","1,796","3,024","41,886","13,036","4,015",357
Missouri,,"241,950","1,121","7,250","2,080","9,233","78,871","6,445",620,"16,881","3,850","3,252","75,476","23,920","7,937",557
Montana,,"30,687",150,632,155,"1,259","10,936",830,42,"1,510",512,359,"8,979","3,586","1,004",60
Nebraska,,"48,206",302,"1,368",280,"1,788","18,296","1,328",89,"3,104",697,718,"12,097","5,514","1,358",119
Nevada,,"72,135",299,"1,854",965,"2,779","21,871","2,031",194,"5,084","1,214","1,511","23,068","7,674","1,881",256
New Hampshire,,"53,474",219,879,219,"1,441","27,546","1,262",64,"2,293",685,329,"11,696","4,661","1,140",89
New Jersey,,"224,220",895,"4,887","2,820","7,481","77,245","7,510",752,"16,140","3,517","4,303","65,508","22,766","4,706",476
New Mexico,,"72,193",334,"2,002",599,"2,784","26,120","1,570",103,"3,351","1,188","1,201","22,742","6,895","1,566",157
New York,,"574,609","2,163","10,570","9,221","18,258","190,437","17,545","1,660","35,328","6,517","8,311","195,691","51,692","12,198",985
North Carolina,,"361,233","1,451","11,470","4,647","12,927","111,581","10,865","1,250","29,358","5,558","7,013","111,157","34,021","10,922",988
North Dakota,,"16,827",106,314,97,652,"6,799",464,28,952,233,263,"4,194","1,902",426,48
Ohio,,"403,498","1,989","10,825","3,139","12,097","149,989","11,368",968,"29,557","5,635","5,477","110,419","36,606","14,149",903
Oklahoma,,"143,009",454,"4,552",972,"4,776","47,557","3,451",243,"10,930","2,115","2,024","46,094","12,609","4,523",358
Oregon,,"122,022",543,"2,886","1,092","4,339","44,149","3,360",219,"6,304","2,175","1,559","36,537","13,551","2,468",301
Pennsylvania,,"460,540","2,175","10,882","4,268","16,792","158,161","13,109","1,175","31,185","7,343","5,994","140,644","44,374","12,308",915
Rhode Island,,"42,023",151,712,300,"1,044","19,718","1,117",92,"2,033",560,373,"10,370","3,728",895,92
South Carolina,,"198,718",661,"5,434","2,331","7,418","56,087","5,415",844,"17,097","2,866","3,923","67,121","18,634","6,116",529
South Dakota,,"22,145",135,450,103,796,"8,527",667,26,"1,239",294,371,"5,719","2,741",587,62
Tennessee,,"277,595",983,"8,859","2,252","9,238","82,480","7,389",697,"22,463","4,259","4,379","90,596","24,580","8,908",636
Texas,,"638,606","2,623","21,286","9,126","25,710","211,143","18,186","1,719","51,751","9,806","15,700","175,918","67,454","12,918","1,379"
Utah,,"53,941",456,"1,265",327,"1,725","21,399","1,307",70,"2,422",842,754,"13,892","6,654","1,288",102
Vermont,,"25,346",137,443,123,756,"11,949",561,34,864,321,166,"6,364","2,304",642,45
Virginia,,"240,028","1,000","6,241","2,759","7,790","81,824","7,434",806,"19,411","3,641","4,653","68,847","22,706","6,828",605
Washington,,"197,114",862,"4,542","1,735","6,295","76,874","5,733",390,"10,183","3,600","2,640","55,754","19,955","3,846",509
West Virginia,,"101,477",307,"3,420",637,"4,417","30,224","2,658",169,"7,677","1,518",991,"33,045","8,220","4,240",242
Wisconsin,,"186,423","1,307","4,143","1,050","5,877","72,177","5,213",406,"10,362","2,366","2,350","51,365","20,732","4,024",361
Wyoming,,"15,079",78,240,73,672,"5,376",371,18,805,219,190,"4,250","1,815",675,28
